iter	Passed	Remaining
1392	1009030	1164042
1393	1009698	1163254
1394	1010438	1162547
1395	1011178	1161840
1396	1011884	1161095
1397	1012600	1160362
1398	1013324	1159637
1399	1014064	1158931
1400	1014757	1158170
1401	1015492	1157459
1402	1016187	1156700
1403	1016904	1155968
1404	1017629	1155245
1405	1018355	1154522
1406	1019068	1153785
1407	1019769	1153034
1408	1020481	1152296
1409	1021206	1151573
1410	1022003	1150930
1411	1022765	1150249
1412	1023633	1149685
1413	1024457	1149073
1414	1025219	1148390
1415	1026067	1147804
1416	1026833	1147126
1417	1027576	1146421
1418	1028323	1145721
1419	1029042	1144991
1420	1029788	1144290
1421	1030506	1143557
1422	1031239	1142842
1423	1032024	1142183
1424	1032737	1141446
1425	1033481	1140743
1426	1034313	1140136
1427	1035068	1139445
1428	1035914	1138853
1429	1036655	1138146
1430	1037387	1137429
1431	1038108	1136699
1432	1038833	1135975
1433	1039556	1135248
1434	1040253	1134491
1435	1040971	1133760
1436	1041688	1133026
1437	1042413	1132302
1438	1043126	1131563
1439	1043819	1130804
1440	1044522	1130055
1441	1045278	1129365
1442	1045995	1128631
1443	1046713	1127898
1444	1047436	1127172
1445	1048150	1126436
1446	1048872	1125707
1447	1049570	1124953
1448	1050276	1124209
1449	1050997	1123480
1450	1051713	1122745
1451	1052461	1122045
1452	1053192	1121327
1453	1053887	1120571
1454	1054623	1119857
1455	1055332	1119116
1456	1056058	1118392
1457	1056766	1117650
1458	1057507	1116941
1459	1058200	1116184
1460	1058922	1115456
1461	1059641	1114725
1462	1060353	1113986
1463	1061072	1113256
1464	1061802	1112537
1465	1062536	1111822
1466	1063248	1111083
1467	1063970	1110355
1468	1064706	1109643
1469	1065412	1108898
1470	1066151	1108188
1471	1066858	1107445
1472	1067572	1106709
1473	1068270	1105956
1474	1069011	1105248
1475	1069727	1104515
1476	1070447	1103785
1477	1071180	1103069
1478	1071893	1102333
1479	1072597	1101586
1480	1073321	1100861
1481	1074019	1100109
